unix,date,symbol,open,high,low,close,volume
1704844800000,01-10-2024,BTCUSDT,46110.00000000,47695.93000000,44300.36000000,46653.99000000,89911.41203000
1704758400000,01-09-2024,BTCUSDT,46951.04000000,47972.00000000,44748.67000000,46110.00000000,69927.66617000
1704672000000,01-08-2024,BTCUSDT,43929.01000000,47248.99000000,43175.00000000,46951.04000000,72814.57589000
1704585600000,01-07-2024,BTCUSDT,43968.32000000,44480.59000000,43572.09000000,43929.02000000,23023.85080000
1704499200000,01-06-2024,BTCUSDT,44145.12000000,44214.42000000,43397.05000000,43968.32000000,17835.06144000
1704412800000,01-05-2024,BTCUSDT,44151.10000000,44357.46000000,42450.00000000,44145.11000000,48075.25327000
1704326400000,01-04-2024,BTCUSDT,42845.23000000,44729.58000000,42613.77000000,44151.10000000,48038.06334000
1704240000000,01-03-2024,BTCUSDT,44946.91000000,45500.00000000,40750.00000000,42845.23000000,81194.55173000
1704153600000,01-02-2024,BTCUSDT,44179.55000000,45879.63000000,44148.34000000,44946.91000000,65146.40661000
1704067200000,01-01-2024,BTCUSDT,42283.58000000,44184.10000000,42180.77000000,44179.55000000,27174.29903000
1703980800000,12-31-2023,BTCUSDT,42140.29000000,42899.00000000,41965.84000000,42283.58000000,23585.91603000
1703894400000,12-30-2023,BTCUSDT,42066.94000000,42612.32000000,41520.30000000,42140.28000000,22906.57818000
1703808000000,12-29-2023,BTCUSDT,42563.76000000,43111.00000000,41300.00000000,42066.95000000,42597.18912000
1703721600000,12-28-2023,BTCUSDT,43428.86000000,43787.57000000,42241.79000000,42563.76000000,35150.52485000
1703635200000,12-27-2023,BTCUSDT,42508.93000000,43677.00000000,42098.69000000,43428.85000000,36191.21136000
1703548800000,12-26-2023,BTCUSDT,43576.12000000,43592.68000000,41637.60000000,42508.93000000,41010.04282000
1703462400000,12-25-2023,BTCUSDT,42991.50000000,43802.32000000,42720.43000000,43576.13000000,27021.23992000
1703376000000,12-24-2023,BTCUSDT,43702.15000000,43946.00000000,42500.00000000,42991.50000000,25144.33496000
1703289600000,12-23-2023,BTCUSDT,43969.04000000,43988.68000000,43291.10000000,43702.16000000,16557.12930000
1703203200000,12-22-2023,BTCUSDT,43861.79000000,44398.26000000,43412.54000000,43969.04000000,32783.19638000
1703116800000,12-21-2023,BTCUSDT,43668.92000000,44242.35000000,43286.72000000,43861.80000000,34624.29384000
1703030400000,12-20-2023,BTCUSDT,42275.99000000,44283.00000000,42206.00000000,43668.93000000,48710.29470000
1702944000000,12-19-2023,BTCUSDT,42657.80000000,43497.00000000,41811.10000000,42275.99000000,40927.86444000
1702857600000,12-18-2023,BTCUSDT,41374.64000000,42757.81000000,40542.93000000,42657.80000000,46734.09250000
1702771200000,12-17-2023,BTCUSDT,42278.02000000,42424.07000000,41252.00000000,41374.65000000,27722.11452000
1702684800000,12-16-2023,BTCUSDT,41940.29000000,42724.43000000,41605.00000000,42278.03000000,24118.85747000
1702598400000,12-15-2023,BTCUSDT,43022.26000000,43080.81000000,41666.00000000,41940.30000000,33421.79320000
1702512000000,12-14-2023,BTCUSDT,42869.03000000,43420.00000000,41400.00000000,43022.26000000,42047.05709000
1702425600000,12-13-2023,BTCUSDT,41492.38000000,43475.20000000,40555.00000000,42869.03000000,45865.99773000
1702339200000,12-12-2023,BTCUSDT,41253.41000000,42104.12000000,40680.00000000,41492.39000000,42722.69773000
1702252800000,12-11-2023,BTCUSDT,43789.50000000,43804.50000000,40222.00000000,41253.40000000,76663.89804000
